
Sep 05, 2018 05:17:14.67 NEW SESSION
Sep 05, 2018 05:17:14.67 [16684:5720:0905/051714.635:ERROR:in_progress_cache_impl.cc(191)] Cache is not initialized, cannot RetrieveEntry.
Sep 05, 2018 05:17:14.67 [16684:5720:0905/051714.635:ERROR:in_progress_cache_impl.cc(191)] Cache is not initialized, cannot RetrieveEntry.
Sep 05, 2018 05:17:14.69 [16684:5720:0905/051714.635:ERROR:in_progress_cache_impl.cc(191)] Cache is not initialized, cannot RetrieveEntry.
Sep 05, 2018 05:17:14.71 [16684:5720:0905/051714.635:ERROR:in_progress_cache_impl.cc(191)] Cache is not initialized, cannot RetrieveEntry.
Sep 05, 2018 05:17:14.71 [16684:5720:0905/051714.635:ERROR:in_progress_cache_impl.cc(191)] Cache is not initialized, cannot RetrieveEntry.
Sep 05, 2018 05:17:14.71 [16684:5720:0905/051714.635:ERROR:in_progress_cache_impl.cc(191)] Cache is not initialized, cannot RetrieveEntry.
Sep 05, 2018 05:17:14.71 [16684:5720:0905/051714.635:ERROR:in_progress_cache_impl.cc(191)] Cache is not initialized, cannot RetrieveEntry.
Sep 05, 2018 05:17:14.71 [16684:5720:0905/051714.635:ERROR:in_progress_cache_impl.cc(191)] Cache is not initialized, cannot RetrieveEntry.
Sep 05, 2018 05:17:14.71 [16684:5720:0905/051714.635:ERROR:in_progress_cache_impl.cc(191)] Cache is not initialized, cannot RetrieveEntry.
Sep 05, 2018 05:17:14.71 [16684:5720:0905/051714.635:ERROR:in_progress_cache_impl.cc(191)] Cache is not initialized, cannot RetrieveEntry.
Sep 05, 2018 05:17:14.71 [16684:5720:0905/051714.635:ERROR:in_progress_cache_impl.cc(191)] Cache is not initialized, cannot RetrieveEntry.
Sep 05, 2018 05:17:15.20 [16684:5720:0905/051715.200:ERROR:gpu_process_transport_factory.cc(1016)] Lost UI shared context.
Sep 05, 2018 05:17:59.61 Unable to read VR Path Registry from C:\Users\spgajjal\AppData\Local\openvr\openvrpaths.vrpath
Sep 05, 2018 05:43:27.78 [16684:5720:0905/054327.784:ERROR:page_load_metrics_update_dispatcher.cc(75)] Invalid response_start 0.017 s for parse_start 0.013 s
Sep 05, 2018 05:43:28.78 [16684:5720:0905/054328.784:ERROR:page_load_metrics_update_dispatcher.cc(75)] Invalid response_start 0.017 s for parse_start 0.013 s
Sep 05, 2018 05:43:29.24 [16684:5720:0905/054329.239:ERROR:page_load_metrics_update_dispatcher.cc(75)] Invalid response_start 0.017 s for parse_start 0.013 s
Sep 05, 2018 05:43:29.24 [16684:5720:0905/054329.239:ERROR:page_load_metrics_update_dispatcher.cc(75)] Invalid response_start 0.017 s for parse_start 0.013 s
Sep 05, 2018 05:43:29.61 [16684:5720:0905/054329.616:ERROR:page_load_metrics_update_dispatcher.cc(75)] Invalid response_start 0.017 s for parse_start 0.013 s
Sep 05, 2018 05:43:29.66 [16684:5720:0905/054329.667:ERROR:page_load_metrics_update_dispatcher.cc(75)] Invalid response_start 0.01 s for parse_start 0.007 s
Sep 05, 2018 05:43:30.66 [16684:5720:0905/054330.667:ERROR:page_load_metrics_update_dispatcher.cc(75)] Invalid response_start 0.01 s for parse_start 0.007 s
Sep 05, 2018 05:43:31.12 [16684:5720:0905/054331.122:ERROR:page_load_metrics_update_dispatcher.cc(75)] Invalid response_start 0.01 s for parse_start 0.007 s
Sep 05, 2018 05:43:31.12 [16684:5720:0905/054331.122:ERROR:page_load_metrics_update_dispatcher.cc(75)] Invalid response_start 0.01 s for parse_start 0.007 s
Sep 05, 2018 05:43:35.62 [16684:5720:0905/054335.626:ERROR:page_load_metrics_update_dispatcher.cc(75)] Invalid response_start 0.01 s for parse_start 0.007 s
Sep 05, 2018 05:43:35.62 [16684:5720:0905/054335.626:ERROR:page_load_metrics_update_dispatcher.cc(75)] Invalid response_start 0.01 s for parse_start 0.007 s
Sep 05, 2018 05:47:39.84 [16684:5720:0905/054739.841:ERROR:page_load_metrics_update_dispatcher.cc(75)] Invalid response_start 0.01 s for parse_start 0.007 s
Sep 05, 2018 05:47:39.89 [16684:5720:0905/054739.893:ERROR:page_load_metrics_update_dispatcher.cc(75)] Invalid response_start 0.016 s for parse_start 0.011 s
Sep 05, 2018 05:47:40.89 [16684:5720:0905/054740.893:ERROR:page_load_metrics_update_dispatcher.cc(75)] Invalid response_start 0.016 s for parse_start 0.011 s
Sep 05, 2018 05:47:41.34 [16684:5720:0905/054741.346:ERROR:page_load_metrics_update_dispatcher.cc(75)] Invalid response_start 0.016 s for parse_start 0.011 s
Sep 05, 2018 05:47:41.34 [16684:5720:0905/054741.346:ERROR:page_load_metrics_update_dispatcher.cc(75)] Invalid response_start 0.016 s for parse_start 0.011 s
Sep 05, 2018 05:47:45.85 [16684:5720:0905/054745.850:ERROR:page_load_metrics_update_dispatcher.cc(75)] Invalid response_start 0.016 s for parse_start 0.011 s
Sep 05, 2018 05:47:45.85 [16684:5720:0905/054745.850:ERROR:page_load_metrics_update_dispatcher.cc(75)] Invalid response_start 0.016 s for parse_start 0.011 s
Sep 05, 2018 05:55:10.74 [16684:5720:0905/055510.739:ERROR:page_load_metrics_update_dispatcher.cc(75)] Invalid response_start 0.022 s for parse_start 0.019 s
Sep 05, 2018 05:55:11.74 [16684:5720:0905/055511.740:ERROR:page_load_metrics_update_dispatcher.cc(75)] Invalid response_start 0.022 s for parse_start 0.019 s
Sep 05, 2018 05:55:11.87 [16684:5720:0905/055511.870:ERROR:page_load_metrics_update_dispatcher.cc(75)] Invalid response_start 0.022 s for parse_start 0.019 s
Sep 05, 2018 05:55:11.87 [16684:5720:0905/055511.870:ERROR:page_load_metrics_update_dispatcher.cc(75)] Invalid response_start 0.022 s for parse_start 0.019 s
Sep 05, 2018 08:10:14.19 [16684:5720:0905/081014.189:ERROR:page_load_metrics_update_dispatcher.cc(75)] Invalid response_start 0.028 s for parse_start 0.022 s
Sep 05, 2018 08:10:15.19 [16684:5720:0905/081015.190:ERROR:page_load_metrics_update_dispatcher.cc(75)] Invalid response_start 0.028 s for parse_start 0.022 s
Sep 05, 2018 08:10:15.65 [16684:5720:0905/081015.655:ERROR:page_load_metrics_update_dispatcher.cc(75)] Invalid response_start 0.028 s for parse_start 0.022 s
Sep 05, 2018 08:10:17.36 [16684:5720:0905/081017.359:ERROR:page_load_metrics_update_dispatcher.cc(75)] Invalid response_start 0.028 s for parse_start 0.022 s
Sep 05, 2018 08:10:17.90 [16684:5720:0905/081017.909:ERROR:page_load_metrics_update_dispatcher.cc(75)] Invalid response_start 0.028 s for parse_start 0.022 s
